Step,HP,MaxHP,Attack,HasKey,CurrentRoom,Death
1,200,200,20,False,NEXUS,False
2,200,200,20,False,EmptyRoom,False
3,200,200,20,False,HiddenTreasure,False
4,60,240,20,False,EmptyRoom,False
5,60,240,20,False,NEXUS,False
6,240,240,20,False,Start,False
7,240,240,20,False,NEXUS,False
8,240,240,20,False,EmptyRoom,False
9,240,240,20,False,BattleRoom,False
10,168,240,20,False,EmptyRoom,False
11,168,240,20,False,NEXUS,False
12,240,240,20,False,Start,False
13,240,240,20,False,NEXUS,False
14,240,240,20,False,EmptyRoom,False
15,240,240,20,False,HiddenTreasure,False
16,240,240,20,False,EmptyRoom,False
17,240,240,20,False,NEXUS,False
18,240,240,20,False,Start,False
19,240,240,20,False,NEXUS,False
20,240,240,20,False,Start,False
21,240,240,20,False,NEXUS,False
22,240,240,20,False,EmptyRoom,False
23,240,240,20,False,BattleRoom,False
24,240,240,20,False,SafeRoom,False
25,240,240,20,False,EmptyRoom2,False
26,240,240,20,False,SafeRoom,False
27,240,240,20,False,BattleRoom,False
28,240,240,20,False,HiddenTreasure2,False
29,280,280,20,False,BattleRoom,False
30,280,280,20,False,EmptyRoom,False
31,280,280,20,False,HiddenTreasure,False
32,280,280,20,False,EmptyRoom,False
33,280,280,20,False,NEXUS,False
34,280,280,20,False,Start,False
35,280,280,20,False,NEXUS,False
36,280,280,20,False,EmptyRoom,False
37,280,280,20,False,BattleRoom,False
38,280,280,20,False,SafeRoom,False
39,280,280,20,False,BattleRoom,False
40,280,280,20,False,HiddenTreasure2,False
41,280,280,20,False,BattleRoom,False
42,280,280,20,False,EmptyRoom,False
43,280,280,20,False,BattleRoom,False
44,280,280,20,False,SafeRoom,False
45,280,280,20,False,EmptyRoom2,False
46,280,280,20,False,BattleRoom2,False
47,75,285,25,False,BattleRoom3,False
48,285,285,25,False,BattleRoom2,True
49,285,285,25,False,HidenTreasure2,False
50,325,325,25,False,BattleRoom2,False
51,325,325,25,False,BattleRoom3,False
52,169,325,25,False,SafeRoom2,False
53,325,325,25,False,EmptyRoom2,False
54,325,325,25,False,BattleRoom4,False
55,5,325,25,False,KEY_ROOM,False
56,5,325,25,True,NEXUS,False
57,325,325,25,True,BossRoom,False
58,170,330,30,True,BossRoom,False
