Simulation,EnemiesInRun,DeathsInRun,PlayerStartingHP,PlayerStartingAttack,TreasuresFound,TimeSteps,Beatable
100,31,2,128,12,3,120,True
99,25,1,341,34,3,154,True
98,544,65,90,9,2,601,False
97,14,1,344,34,1,20,True
96,22,1,213,21,3,68,True
95,10,1,283,28,4,150,True
94,11,1,274,27,3,148,True
93,26,1,294,29,1,42,True
92,1,1,167,16,0,14,True
91,93,7,175,17,4,170,True
90,21,1,254,25,3,124,True
89,38,5,61,6,4,188,True
88,43,3,142,14,4,90,True
87,3279,601,75,7,0,601,False
86,21,3,106,10,2,76,True
85,20,1,229,22,2,34,True
84,32,4,75,7,4,236,True
83,17,1,188,18,2,27,True
82,26,1,223,22,1,24,True
81,11,2,69,6,3,79,True
80,43,1,349,34,3,46,True
79,40,1,361,36,4,148,True
78,14,1,208,20,4,157,True
77,38,1,309,30,2,62,True
76,6,1,341,34,3,68,True
75,5,1,285,28,3,47,True
74,6,1,167,16,2,56,True
73,11,1,146,14,2,50,True
72,21,1,161,16,4,98,True
71,29,1,261,26,2,54,True
70,42,1,360,36,2,104,True
69,13,1,170,17,1,24,True
68,51,2,224,22,4,65,True
67,3329,601,68,6,0,601,False
66,12,2,127,12,4,106,True
65,19,1,274,27,2,36,True
64,48,3,153,15,4,158,True
63,12,1,86,8,4,72,True
62,-2,1,288,28,2,30,True
61,13,1,348,34,4,110,True
60,655,85,105,10,1,601,False
59,11,1,219,21,4,96,True
58,45,4,154,15,3,122,True
57,34,1,207,20,4,48,True
56,10,1,240,24,2,32,True
55,146,26,68,6,2,601,False
54,47,1,366,36,4,186,True
53,15,1,178,17,3,78,True
52,89,11,112,11,3,149,True
51,29,2,168,16,3,138,True
50,22,4,72,7,4,85,True
49,65,6,140,14,4,175,True
48,10,1,309,30,4,49,True
47,15,1,365,36,3,62,True
46,15,1,348,34,1,18,True
45,46,2,212,21,1,42,True
44,8,1,137,13,4,174,True
43,5,1,306,30,3,39,True
42,38,1,270,27,1,24,True
41,31,1,257,25,3,40,True
40,31,1,256,25,2,56,True
39,10,1,193,19,2,28,True
38,528,74,77,7,2,601,False
37,7,1,311,31,2,70,True
36,5,1,224,22,3,60,True
35,7,1,130,13,3,90,True
34,52,6,130,13,2,71,True
33,31,2,140,14,4,132,True
32,12,1,387,38,4,46,True
31,42,1,389,38,4,45,True
30,26,1,150,15,3,64,True
29,35,2,163,16,2,96,True
28,10,1,329,32,3,114,True
27,26,1,286,28,1,22,True
26,37,1,300,30,4,78,True
25,206,29,90,9,4,581,True
24,10,1,138,13,4,70,True
23,24,1,329,32,2,56,True
22,36,1,355,35,4,122,True
21,30,2,159,15,4,81,True
20,65,7,132,13,4,153,True
19,21,1,221,22,1,28,True
18,30,1,333,33,2,30,True
17,25,1,256,25,4,46,True
16,174,20,125,12,4,290,True
15,2,1,308,30,4,120,True
14,32,1,369,36,3,82,True
13,6,1,179,17,2,40,True
12,20,1,270,27,4,61,True
11,33,1,371,37,2,28,True
10,32,2,186,18,3,125,True
9,13,2,109,10,4,103,True
8,35,1,266,26,3,72,True
7,57,9,98,9,3,126,True
6,599,78,115,11,1,601,False
5,10,1,295,29,2,28,True
4,29,1,374,37,3,40,True
3,89,11,105,10,4,138,True
2,28,1,236,23,3,40,True
1,24,1,180,18,2,56,True
